domain,status,premium,reg_price,renew_price
  💰 PREMIUM: silk.space reg=$273.44
  💰 PREMIUM: silk.quest reg=$2183.84
  💰 PREMIUM: silk.mom reg=$2183.84
  💰 PREMIUM: silk.beauty reg=$2183.84
  💰 PREMIUM: silk.beer reg=$44.19
  ✓ CHEAP: silk.best reg=$1.72 renew=$15.96
  💰 PREMIUM: silk.click reg=$382.61
  💰 PREMIUM: silk.garden reg=$873.85
  💰 PREMIUM: silk.hair reg=$2183.84
  ✓ CHEAP: silk.monster reg=$1.54 renew=$12.98
  💰 PREMIUM: silk.rest reg=$69.30
  💰 PREMIUM: silk.skin reg=$2183.84
silk.lol,UNAVAILABLE,0,1.54,26.26
silk.space,AVAILABLE,1,273.44,1092.18
silk.pics,UNAVAILABLE,0,1.54,26.26
silk.quest,AVAILABLE,1,2183.84,2183.84
silk.mom,AVAILABLE,1,2183.84,2183.84
silk.beauty,AVAILABLE,1,2183.84,2183.84
silk.beer,AVAILABLE,1,44.19,27.82
silk.best,AVAILABLE,0,1.72,15.96
silk.click,AVAILABLE,1,382.61,546.35
silk.garden,AVAILABLE,1,873.85,27.82
silk.hair,AVAILABLE,1,2183.84,2183.84
silk.monster,AVAILABLE,0,1.54,12.98
silk.rest,AVAILABLE,1,69.30,98.77
silk.skin,AVAILABLE,1,2183.84,2183.84
silk.surf,UNAVAILABLE,0,1.54,26.26
  💰 PREMIUM: glow.quest reg=$710.10
  💰 PREMIUM: glow.mom reg=$710.10
  💰 PREMIUM: glow.beauty reg=$2183.84
  💰 PREMIUM: glow.click reg=$76.94
  💰 PREMIUM: glow.hair reg=$2183.84
  💰 PREMIUM: glow.skin reg=$2183.84
glow.lol,UNAVAILABLE,0,1.54,26.26
glow.space,UNAVAILABLE,1,68.75,273.44
glow.pics,UNAVAILABLE,0,1.54,26.26
glow.quest,AVAILABLE,1,710.10,13.74
glow.mom,AVAILABLE,1,710.10,710.10
glow.beauty,AVAILABLE,1,2183.84,13.74
glow.beer,UNAVAILABLE,0,1.54,26.26
glow.best,UNAVAILABLE,0,1.72,15.96
glow.click,AVAILABLE,1,76.94,109.69
glow.garden,UNAVAILABLE,0,1.54,26.26
glow.hair,AVAILABLE,1,2183.84,13.74
glow.monster,UNAVAILABLE,0,1.54,12.98
glow.rest,UNAVAILABLE,0,1.54,26.26
glow.skin,AVAILABLE,1,2183.84,13.74
glow.surf,UNAVAILABLE,0,1.54,26.26
  💰 PREMIUM: pure.quest reg=$710.10
  💰 PREMIUM: pure.mom reg=$710.10
  💰 PREMIUM: pure.beauty reg=$2183.84
  💰 PREMIUM: pure.hair reg=$2183.84
  💰 PREMIUM: pure.skin reg=$2183.84
pure.lol,UNAVAILABLE,0,1.54,26.26
pure.space,UNAVAILABLE,1,68.75,273.44
pure.pics,UNAVAILABLE,0,1.54,26.26
pure.quest,AVAILABLE,1,710.10,13.74
pure.mom,AVAILABLE,1,710.10,710.10
pure.beauty,AVAILABLE,1,2183.84,2183.84
pure.beer,UNAVAILABLE,0,1.54,26.26
pure.best,UNAVAILABLE,0,1.72,15.96
pure.click,UNAVAILABLE,0,1.54,10.81
pure.garden,UNAVAILABLE,1,873.85,27.82
pure.hair,AVAILABLE,1,2183.84,2183.84
pure.monster,UNAVAILABLE,0,1.54,12.98
pure.rest,UNAVAILABLE,0,1.54,26.26
pure.skin,AVAILABLE,1,2183.84,2183.84
pure.surf,UNAVAILABLE,1,218.86,27.82
  💰 PREMIUM: bold.space reg=$273.44
  💰 PREMIUM: bold.quest reg=$710.10
  💰 PREMIUM: bold.mom reg=$710.10
  💰 PREMIUM: bold.beauty reg=$710.10
  💰 PREMIUM: bold.click reg=$76.94
  💰 PREMIUM: bold.garden reg=$873.85
  💰 PREMIUM: bold.hair reg=$710.10
  ✓ CHEAP: bold.rest reg=$1.54 renew=$26.26
  💰 PREMIUM: bold.skin reg=$710.10
bold.lol,UNAVAILABLE,0,1.54,26.26
bold.space,AVAILABLE,1,273.44,1092.18
bold.pics,UNAVAILABLE,0,1.54,26.26
bold.quest,AVAILABLE,1,710.10,13.74
bold.mom,AVAILABLE,1,710.10,710.10
bold.beauty,AVAILABLE,1,710.10,710.10
bold.beer,UNAVAILABLE,0,1.54,26.26
