domain,status,registrar
adret.com,TAKEN,GoDaddy.com, LLC
agape.com,TAKEN,Hostopia Canada Corp
aksha.com,TAKEN,MarkMonitor Inc.
altus.com,TAKEN,Tucows Domains Inc.
alveo.com,TAKEN,Network Solutions, LLC
ampli.com,TAKEN,Tucows Domains Inc.
ankhu.com,TAKEN,Squarespace Domains II LLC
apiru.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
arche.com,TAKEN,OVH sas
aulos.com,TAKEN,GoDaddy.com, LLC
auric.com,TAKEN,Nom-iq Ltd. dba COM LAUDE
axion.com,TAKEN,Squarespace Domains LLC
azura.com,TAKEN,GoDaddy.com, LLC
bariq.com,TAKEN,NameCheap, Inc.
baryon.com,TAKEN,COREhub, S.R.L.
beon.com,TAKEN,REGISTER4LESS, INC.
bidweb.com,TAKEN,Epik LLC
bigpod.com,TAKEN,Sea Wasp, LLC
bigtap.com,TAKEN,REGISTER4LESS, INC.
blendr.com,TAKEN,GoDaddy.com, LLC
blixo.com,TAKEN,NameCheap, Inc.
blokk.com,TAKEN,GoDaddy.com, LLC
blurven.com,AVAILABLE,none
blynko.com,TAKEN,GoDaddy.com, LLC
blynth.com,TAKEN,Tucows Domains Inc.
bodhi.com,TAKEN,GoDaddy.com, LLC
boldr.com,TAKEN,GoDaddy.com, LLC
bolvex.com,TAKEN,GoDaddy.com, LLC
boson.com,TAKEN,GoDaddy.com, LLC
braveo.com,TAKEN,Dynadot Inc
braxen.com,TAKEN,Alpine Domains Inc.
brelko.com,TAKEN,GoDaddy.com, LLC
brello.com,TAKEN,GoDaddy.com, LLC
brenlo.com,TAKEN,eNom, LLC
brevis.com,TAKEN,GoDaddy.com, LLC
brexon.com,TAKEN,GoDaddy.com, LLC
brinko.com,TAKEN,DreamHost, LLC
brinox.com,TAKEN,Arsys Internet, S.L. dba NICLINE.COM
brite.com,TAKEN,GoDaddy.com, LLC
brivux.com,TAKEN,Name.com, Inc.
broxel.com,TAKEN,Network Solutions, LLC
brunex.com,TAKEN,InterNetX GmbH
bruthen.com,TAKEN,Alpine Domains Inc.
bruveo.com,AVAILABLE,none
bruvix.com,AVAILABLE,none
bryllo.com,TAKEN,DropCatch.com 1503 LLC
brynja.com,TAKEN,GoDaddy.com, LLC
brynko.com,TAKEN,IONOS SE
bryte.com,TAKEN,Network Solutions, LLC
brytos.com,TAKEN,Infomaniak Network SA
bryvex.com,TAKEN,SBSNames, LLC
bryxal.com,TAKEN,Dynadot Inc
buffr.com,TAKEN,GoDaddy.com, LLC
bugfly.com,TAKEN,GoDaddy.com, LLC
bundld.com,TAKEN,Squarespace Domains II LLC
bundlr.com,TAKEN,GoDaddy.com, LLC
buztap.com,TAKEN,GoDaddy.com, LLC
buzzr.com,TAKEN,GoDaddy.com, LLC
byntho.com,AVAILABLE,none
calix.com,TAKEN,Network Solutions, LLC
carvd.com,TAKEN,GoDaddy.com, LLC
caspix.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
castr.com,TAKEN,NameCheap, Inc.
centr.com,TAKEN,GoDaddy.com, LLC
cirkl.com,TAKEN,Ascio Technologies, Inc. Danmark - Filia
civis.com,TAKEN,Domain.com - Network Solutions, LLC
clareo.com,TAKEN,GoDaddy.com, LLC
cleer.com,TAKEN,GoDaddy.com, LLC
clickr.com,TAKEN,MarkMonitor Inc.
climbr.com,TAKEN,GoDaddy.com, LLC
cogfly.com,TAKEN,Unstoppable Domains Inc.
craveo.com,TAKEN,GoDaddy.com, LLC
cravix.com,TAKEN,GoDaddy.com, LLC
craxeo.com,TAKEN,GoDaddy.com, LLC
crelko.com,AVAILABLE,none
crello.com,TAKEN,Moniker Online Services LLC
creno.com,TAKEN,OVH sas
cresto.com,TAKEN,Ascio Technologies, Inc. Danmark - Filia
cribb.com,TAKEN,GoDaddy.com, LLC
crivlo.com,TAKEN,GoDaddy.com, LLC
crobex.com,TAKEN,Megazone Corp., dba HOSTING.KR
crova.com,TAKEN,Megazone Corp., dba HOSTING.KR
crovex.com,TAKEN,GoDaddy.com, LLC
crumbl.com,TAKEN,eNom, LLC
cruvio.com,TAKEN,Dynadot Inc
cruxen.com,TAKEN,GoDaddy.com, LLC
cruxio.com,TAKEN,GoDaddy.com, LLC
