domain,status,registrar
aburi.com,TAKEN,GoDaddy.com, LLC
adira.com,TAKEN,OVH sas
aduro.com,TAKEN,Amazon Registrar, Inc.
adust.com,TAKEN,Unstoppable Domains Inc.
aelum.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
aequo.com,TAKEN,GoDaddy.com, LLC
agifex.com,AVAILABLE,none
akash.com,TAKEN,Network Solutions, LLC
alant.com,TAKEN,united-domains GmbH
almuce.com,TAKEN,Alibaba Cloud Computing Ltd. d/b/a HiChi
alvos.com,TAKEN,OVH sas
amain.com,TAKEN,NameCheap, Inc.
amani.com,TAKEN,Network Solutions, LLC
ambar.com,TAKEN,Acens Technologies, S.L.U.
amnis.com,TAKEN,GoDaddy.com, LLC
amplyx.com,TAKEN,Nom-iq Ltd. dba COM LAUDE
amrit.com,AVAILABLE,none
anker.com,TAKEN,GoDaddy.com, LLC
apefix.com,TAKEN,Gname.com Pte. Ltd.
apexly.com,TAKEN,Name.com, Inc.
apexra.com,TAKEN,GoDaddy.com, LLC
arcana.com,TAKEN,Domain.com - Network Solutions, LLC
arcum.com,TAKEN,Regional Network Information Center, JSC
areum.com,TAKEN,GoDaddy.com, LLC
argent.com,TAKEN,Network Solutions, LLC
ariel.com,TAKEN,Network Solutions, LLC
ariso.com,TAKEN,InterNetX GmbH
armet.com,TAKEN,GoDaddy.com, LLC
arris.com,TAKEN,MarkMonitor Inc.
asili.com,TAKEN,GoDaddy.com, LLC
attar.com,TAKEN,GoDaddy.com, LLC
aurar.com,TAKEN,1API GmbH
auris.com,TAKEN,GoDaddy.com, LLC
auryx.com,TAKEN,TurnCommerce, Inc. DBA NameBright.com
aviso.com,TAKEN,GoDaddy.com, LLC
azoth.com,TAKEN,Squarespace Domains II LLC
bairn.com,TAKEN,Network Solutions, LLC
balta.com,TAKEN,Arsys Internet, S.L. dba NICLINE.COM
baram.com,TAKEN,GoDaddy.com, LLC
baric.com,TAKEN,Network Solutions, LLC
belay.com,TAKEN,Tucows Domains Inc.
belvox.com,TAKEN,IONOS SE
bexol.com,TAKEN,GoDaddy.com, LLC
bezant.com,TAKEN,NameCheap, Inc.
bhumi.com,TAKEN,Squarespace Domains II LLC
bild.com,TAKEN,InterNetX GmbH
birl.com,TAKEN,GoDaddy.com, LLC
blevox.com,TAKEN,NameCheap, Inc.
blick.com,TAKEN,GoDaddy.com, LLC
blok.com,TAKEN,GoDaddy.com, LLC
blynkr.com,TAKEN,GoDaddy.com, LLC
bole.com,TAKEN,Alibaba Cloud Computing (Beijing) Co., L
boltly.com,TAKEN,GoDaddy.com, LLC
boltra.com,TAKEN,Alpine Domains Inc.
bovex.com,TAKEN,GoDaddy.com, LLC
bract.com,TAKEN,Dynadot Inc
brae.com,TAKEN,Amazon Registrar, Inc.
brafix.com,TAKEN,Inames Co., Ltd.
brafly.com,TAKEN,Name SRS AB
bravex.com,TAKEN,GoDaddy.com, LLC
braxon.com,TAKEN,Tucows Domains Inc.
bream.com,TAKEN,Network Solutions, LLC
breve.com,TAKEN,GoDaddy.com, LLC
brevio.com,TAKEN,Domeneshop AS dba domainnameshop.com
brevox.com,TAKEN,Gandi SAS
brisa.com,TAKEN,IONOS SE
brise.com,TAKEN,Moniker Online Services LLC
brivex.com,TAKEN,GoDaddy.com, LLC
brixon.com,TAKEN,IONOS SE
broxly.com,TAKEN,Nics Telekomunikasyon A.S.
bruma.com,TAKEN,Moniker Online Services LLC
buildly.com,TAKEN,DropCatch.com 1115 LLC
buildr.com,TAKEN,Squarespace Domains II LLC
builex.com,TAKEN,GoDaddy.com, LLC
bund.com,TAKEN,Domain.com - Network Solutions, LLC
buraq.com,TAKEN,Wild West Domains, LLC
byeol.com,TAKEN,Megazone Corp., dba HOSTING.KR
bytel.com,TAKEN,GoDaddy.com, LLC
bytlex.com,TAKEN,NameCheap, Inc.
cadent.com,TAKEN,GoDaddy.com, LLC
caeli.com,TAKEN,Domain.com - Network Solutions, LLC
cairn.com,TAKEN,1API GmbH
calda.com,TAKEN,eNom, LLC
calor.com,TAKEN,123-Reg Limited
calvi.com,TAKEN,NameCheap, Inc.
calyx.com,TAKEN,Gandi SAS
camber.com,TAKEN,Amazon Registrar, Inc.
cantle.com,TAKEN,Dynadot Inc
carrel.com,TAKEN,Tucows Domains Inc.
cedrix.com,TAKEN,CSL Computer Service Langenbach GmbH d/b
cella.com,TAKEN,InterNetX GmbH
celsi.com,TAKEN,Ascio Technologies, Inc. Danmark - Filia
celure.com,TAKEN,GoDaddy.com, LLC
