domain,status,premium,reg_price,renew_price
amberyn.com,UNAVAILABLE,0,11.08,11.08
ambr.com,UNAVAILABLE,0,11.08,11.08
apelix.com,UNAVAILABLE,0,11.08,11.08
apelux.com,UNAVAILABLE,0,11.08,11.08
apeobe.com,AVAILABLE,0,11.08,11.08
aperix.com,UNAVAILABLE,0,11.08,11.08
aperok.com,UNAVAILABLE,0,11.08,11.08
aperon.com,UNAVAILABLE,0,11.08,11.08
apevox.com,UNAVAILABLE,0,11.08,11.08
apezon.com,UNAVAILABLE,0,11.08,11.08
aurafy.com,UNAVAILABLE,0,11.08,11.08
aurahub.com,UNAVAILABLE,0,11.08,11.08
auraify.com,UNAVAILABLE,0,11.08,11.08
auralai.com,UNAVAILABLE,0,11.08,11.08
auraly.com,UNAVAILABLE,0,11.08,11.08
beakyn.com,UNAVAILABLE,0,11.08,11.08
bebloom.com,UNAVAILABLE,0,11.08,11.08
becraft.com,UNAVAILABLE,0,11.08,11.08
bedrift.com,UNAVAILABLE,0,11.08,11.08
beforge.com,UNAVAILABLE,0,11.08,11.08
begleam.com,UNAVAILABLE,0,11.08,11.08
bekeen.com,UNAVAILABLE,0,11.08,11.08
bekn.com,UNAVAILABLE,0,11.08,11.08
belush.com,UNAVAILABLE,0,11.08,11.08
bevault.com,UNAVAILABLE,0,11.08,11.08
bevivid.com,UNAVAILABLE,0,11.08,11.08
bewoven.com,UNAVAILABLE,0,11.08,11.08
blayze.com,UNAVAILABLE,0,11.08,11.08
blayzr.com,UNAVAILABLE,0,11.08,11.08
blazyn.com,UNAVAILABLE,0,11.08,11.08
blazyr.com,UNAVAILABLE,0,11.08,11.08
blissfy.com,PENDING,0,0.00,0.00
blisshub.com,UNAVAILABLE,0,11.08,11.08
bloomai.com,UNAVAILABLE,0,11.08,11.08
bloomfy.com,UNAVAILABLE,0,11.08,11.08
bloomhub.com,UNAVAILABLE,0,11.08,11.08
bloomify.com,UNAVAILABLE,0,11.08,11.08
bloomly.com,UNAVAILABLE,0,11.08,11.08
bloomr.com,UNAVAILABLE,0,11.08,11.08
blyss.com,UNAVAILABLE,0,11.08,11.08
bolane.com,UNAVAILABLE,0,11.08,11.08
bolnix.com,UNAVAILABLE,0,11.08,11.08
bolova.com,UNAVAILABLE,0,11.08,11.08
bolrix.com,UNAVAILABLE,0,11.08,11.08
boludo.com,UNAVAILABLE,0,11.08,11.08
bolume.com,UNAVAILABLE,0,11.08,11.08
bolvex.com,UNAVAILABLE,0,11.08,11.08
bolzen.com,UNAVAILABLE,0,11.08,11.08
breez.com,UNAVAILABLE,0,11.08,11.08
breezr.com,UNAVAILABLE,0,11.08,11.08
briado.com,PENDING,0,0.00,0.00
briako.com,AVAILABLE,0,11.08,11.08
bridgr.com,UNAVAILABLE,0,11.08,11.08
brilix.com,UNAVAILABLE,0,11.08,11.08
briobe.com,AVAILABLE,0,11.08,11.08
briova.com,UNAVAILABLE,0,11.08,11.08
briune.com,AVAILABLE,0,11.08,11.08
brivex.com,UNAVAILABLE,0,11.08,11.08
brixxt.com,AVAILABLE,0,11.08,11.08
brizen.com,UNAVAILABLE,0,11.08,11.08
