domain,status,premium,reg_price,renew_price
adorn.lol,UNAVAILABLE,0,1.54,26.26
adorn.space,UNAVAILABLE,0,1.96,26.26
adorn.pics,AVAILABLE,0,1.54,26.26
adorn.quest,AVAILABLE,0,1.54,12.98
adorn.mom,AVAILABLE,0,1.54,26.26
adorn.beauty,UNAVAILABLE,0,1.54,12.98
adorn.beer,AVAILABLE,0,1.54,26.26
adorn.best,AVAILABLE,0,1.72,15.96
adorn.click,AVAILABLE,1,76.94,109.69
adorn.garden,AVAILABLE,0,1.54,26.26
adorn.hair,UNAVAILABLE,0,1.54,12.98
adorn.monster,AVAILABLE,0,1.54,12.98
adorn.rest,AVAILABLE,0,1.54,26.26
adorn.skin,AVAILABLE,0,1.54,12.98
adorn.surf,AVAILABLE,0,1.54,26.26
aerie.lol,AVAILABLE,0,1.54,26.26
aerie.space,AVAILABLE,1,27.82,109.69
aerie.pics,AVAILABLE,0,1.54,26.26
aerie.quest,AVAILABLE,0,1.54,12.98
aerie.mom,AVAILABLE,0,1.54,26.26
aerie.beauty,AVAILABLE,0,1.54,12.98
aerie.beer,AVAILABLE,0,1.54,26.26
aerie.best,AVAILABLE,0,1.72,15.96
aerie.click,AVAILABLE,1,382.61,546.35
aerie.garden,AVAILABLE,0,1.54,26.26
aerie.hair,AVAILABLE,0,1.54,12.98
aerie.monster,AVAILABLE,0,1.54,12.98
aerie.rest,AVAILABLE,0,1.54,26.26
aerie.skin,AVAILABLE,0,1.54,12.98
aerie.surf,AVAILABLE,0,1.54,26.26
aioli.lol,AVAILABLE,0,1.54,26.26
aioli.space,AVAILABLE,1,27.82,109.69
aioli.pics,UNAVAILABLE,0,1.54,26.26
aioli.quest,AVAILABLE,0,1.54,12.98
aioli.mom,AVAILABLE,0,1.54,26.26
aioli.beauty,AVAILABLE,0,1.54,12.98
aioli.beer,AVAILABLE,0,1.54,26.26
aioli.best,AVAILABLE,0,1.72,15.96
aioli.click,AVAILABLE,1,76.94,109.69
aioli.garden,AVAILABLE,0,1.54,26.26
aioli.hair,AVAILABLE,0,1.54,12.98
aioli.monster,AVAILABLE,0,1.54,12.98
aioli.rest,AVAILABLE,0,1.54,26.26
aioli.skin,AVAILABLE,0,1.54,12.98
aioli.surf,AVAILABLE,0,1.54,26.26
alure.lol,AVAILABLE,0,1.54,26.26
alure.space,AVAILABLE,1,27.82,109.69
alure.pics,AVAILABLE,0,1.54,26.26
alure.quest,AVAILABLE,0,1.54,12.98
alure.mom,AVAILABLE,0,1.54,26.26
alure.beauty,AVAILABLE,0,1.54,12.98
alure.beer,AVAILABLE,0,1.54,26.26
alure.best,AVAILABLE,0,1.72,15.96
alure.click,AVAILABLE,1,76.94,109.69
alure.garden,AVAILABLE,0,1.54,26.26
alure.hair,AVAILABLE,0,1.54,12.98
alure.monster,AVAILABLE,0,1.54,12.98
alure.rest,AVAILABLE,0,1.54,26.26
alure.skin,AVAILABLE,0,1.54,12.98
alure.surf,AVAILABLE,0,1.54,26.26
ambit.lol,AVAILABLE,1,2183.84,2183.84
ambit.space,UNAVAILABLE,0,1.96,26.26
ambit.pics,AVAILABLE,1,2183.84,2183.84
ambit.quest,AVAILABLE,1,2183.84,2183.84
ambit.mom,AVAILABLE,1,2183.84,2183.84
ambit.beauty,AVAILABLE,1,2183.84,2183.84
ambit.beer,AVAILABLE,0,1.54,26.26
ambit.best,AVAILABLE,0,1.72,15.96
ambit.click,AVAILABLE,1,76.94,109.69
ambit.garden,AVAILABLE,0,1.54,26.26
ambit.hair,AVAILABLE,1,2183.84,2183.84
ambit.monster,AVAILABLE,0,1.54,12.98
ambit.rest,AVAILABLE,0,1.54,26.26
ambit.skin,AVAILABLE,1,2183.84,2183.84
ambit.surf,AVAILABLE,0,1.54,26.26
amble.lol,UNAVAILABLE,0,1.54,26.26
amble.space,UNAVAILABLE,0,1.96,26.26
amble.pics,AVAILABLE,0,1.54,26.26
amble.quest,UNAVAILABLE,0,1.54,12.98
amble.mom,AVAILABLE,0,1.54,26.26
amble.beauty,AVAILABLE,0,1.54,12.98
amble.beer,AVAILABLE,0,1.54,26.26
amble.best,AVAILABLE,0,1.72,15.96
amble.click,AVAILABLE,1,76.94,109.69
amble.garden,AVAILABLE,0,1.54,26.26
amble.hair,AVAILABLE,0,1.54,12.98
amble.monster,AVAILABLE,0,1.54,12.98
amble.rest,AVAILABLE,0,1.54,26.26
amble.skin,AVAILABLE,0,1.54,12.98
amble.surf,AVAILABLE,0,1.54,26.26
amice.lol,AVAILABLE,0,1.54,26.26
amice.space,AVAILABLE,1,68.75,273.44
amice.pics,AVAILABLE,0,1.54,26.26
amice.quest,AVAILABLE,0,1.54,12.98
amice.mom,AVAILABLE,0,1.54,26.26
amice.beauty,AVAILABLE,0,1.54,12.98
amice.beer,AVAILABLE,0,1.54,26.26
amice.best,AVAILABLE,0,1.72,15.96
amice.click,AVAILABLE,1,76.94,109.69
amice.garden,AVAILABLE,0,1.54,26.26
amice.hair,AVAILABLE,0,1.54,12.98
amice.monster,AVAILABLE,0,1.54,12.98
amice.rest,AVAILABLE,0,1.54,26.26
amice.skin,AVAILABLE,0,1.54,12.98
amice.surf,AVAILABLE,0,1.54,26.26
anneal.lol,UNAVAILABLE,0,1.54,26.26
anneal.space,AVAILABLE,1,27.82,109.69
anneal.pics,AVAILABLE,0,1.54,26.26
anneal.quest,AVAILABLE,0,1.54,12.98
anneal.mom,AVAILABLE,0,1.54,26.26
anneal.beauty,AVAILABLE,0,1.54,12.98
anneal.beer,UNAVAILABLE,0,1.54,26.26
anneal.best,AVAILABLE,0,1.72,15.96
anneal.click,AVAILABLE,0,1.54,10.81
anneal.garden,AVAILABLE,0,1.54,26.26
anneal.hair,AVAILABLE,0,1.54,12.98
anneal.monster,AVAILABLE,0,1.54,12.98
anneal.rest,AVAILABLE,0,1.54,26.26
anneal.skin,AVAILABLE,0,1.54,12.98
anneal.surf,AVAILABLE,0,1.54,26.26
arco.lol,UNAVAILABLE,0,1.54,26.26
arco.space,AVAILABLE,1,136.98,546.35
arco.pics,UNAVAILABLE,0,1.54,26.26
arco.quest,AVAILABLE,0,1.54,12.98
arco.mom,AVAILABLE,0,1.54,26.26
arco.beauty,UNAVAILABLE,0,1.54,12.98
arco.beer,AVAILABLE,0,1.54,26.26
arco.best,AVAILABLE,0,1.72,15.96
arco.click,AVAILABLE,1,76.94,109.69
arco.garden,AVAILABLE,0,1.54,26.26
arco.hair,AVAILABLE,0,1.54,12.98
arco.monster,AVAILABLE,0,1.54,12.98
arco.rest,UNAVAILABLE,0,1.54,26.26
arco.skin,AVAILABLE,0,1.54,12.98
arco.surf,AVAILABLE,0,1.54,26.26
armpit.lol,UNAVAILABLE,0,1.54,26.26
armpit.space,UNAVAILABLE,0,1.96,26.26
armpit.pics,AVAILABLE,0,1.54,26.26
armpit.quest,AVAILABLE,0,1.54,12.98
armpit.mom,AVAILABLE,0,1.54,26.26
armpit.beauty,AVAILABLE,0,1.54,12.98
armpit.beer,AVAILABLE,0,1.54,26.26
armpit.best,AVAILABLE,0,1.72,15.96
armpit.click,AVAILABLE,0,1.54,10.81
armpit.garden,AVAILABLE,0,1.54,26.26
armpit.hair,UNAVAILABLE,0,1.54,12.98
armpit.monster,AVAILABLE,0,1.54,12.98
armpit.rest,AVAILABLE,0,1.54,26.26
armpit.skin,AVAILABLE,0,1.54,12.98
armpit.surf,AVAILABLE,0,1.54,26.26
arrack.lol,PENDING,0,0.00,0.00
arrack.space,UNAVAILABLE,0,1.96,26.26
arrack.pics,PENDING,0,0.00,0.00
arrack.quest,AVAILABLE,0,1.54,12.98
arrack.mom,PENDING,0,0.00,0.00
arrack.beauty,AVAILABLE,0,1.54,12.98
arrack.beer,UNAVAILABLE,0,1.54,26.26
arrack.best,AVAILABLE,0,1.72,15.96
arrack.click,PENDING,0,0.00,0.00
arrack.garden,AVAILABLE,0,1.54,26.26
arrack.hair,AVAILABLE,0,1.54,12.98
arrack.monster,AVAILABLE,0,1.54,12.98
arrack.rest,PENDING,0,0.00,0.00
arrack.skin,AVAILABLE,0,1.54,12.98
arrack.surf,AVAILABLE,0,1.54,26.26
arsis.lol,AVAILABLE,0,1.54,26.26
arsis.space,UNAVAILABLE,0,1.96,26.26
arsis.pics,AVAILABLE,0,1.54,26.26
arsis.quest,AVAILABLE,0,1.54,12.98
arsis.mom,AVAILABLE,0,1.54,26.26
arsis.beauty,AVAILABLE,0,1.54,12.98
arsis.beer,AVAILABLE,0,1.54,26.26
arsis.best,AVAILABLE,0,1.72,15.96
arsis.click,AVAILABLE,1,76.94,109.69
arsis.garden,AVAILABLE,0,1.54,26.26
arsis.hair,AVAILABLE,0,1.54,12.98
arsis.monster,AVAILABLE,0,1.54,12.98
arsis.rest,AVAILABLE,0,1.54,26.26
arsis.skin,AVAILABLE,0,1.54,12.98
arsis.surf,AVAILABLE,0,1.54,26.26
arvo.lol,AVAILABLE,0,1.54,26.26
arvo.space,AVAILABLE,1,273.44,1092.18
arvo.pics,AVAILABLE,0,1.54,26.26
arvo.quest,AVAILABLE,0,1.54,12.98
arvo.mom,AVAILABLE,0,1.54,26.26
arvo.beauty,AVAILABLE,0,1.54,12.98
arvo.beer,UNAVAILABLE,0,1.54,26.26
