domain,status,premium,reg_price,renew_price
adder.lol,AVAILABLE,0,1.54,26.26
adder.space,AVAILABLE,1,136.98,546.35
adder.pics,AVAILABLE,0,1.54,26.26
adder.quest,AVAILABLE,0,1.54,12.98
adder.mom,AVAILABLE,0,1.54,26.26
adder.beauty,AVAILABLE,0,1.54,12.98
adder.beer,AVAILABLE,0,1.54,26.26
adder.best,AVAILABLE,0,1.72,15.96
adder.click,AVAILABLE,1,76.94,109.69
adder.garden,AVAILABLE,0,1.54,26.26
adder.hair,UNAVAILABLE,0,1.54,12.98
adder.monster,AVAILABLE,0,1.54,12.98
adder.rest,AVAILABLE,0,1.54,26.26
adder.skin,AVAILABLE,0,1.54,12.98
adder.surf,AVAILABLE,0,1.54,26.26
adze.lol,AVAILABLE,0,1.54,26.26
adze.space,AVAILABLE,1,68.75,273.44
adze.pics,AVAILABLE,0,1.54,26.26
adze.quest,AVAILABLE,0,1.54,12.98
adze.mom,AVAILABLE,0,1.54,26.26
adze.beauty,AVAILABLE,0,1.54,12.98
adze.beer,AVAILABLE,0,1.54,26.26
adze.best,AVAILABLE,0,1.72,15.96
adze.click,AVAILABLE,1,76.94,109.69
adze.garden,AVAILABLE,0,1.54,26.26
adze.hair,AVAILABLE,0,1.54,12.98
adze.monster,AVAILABLE,0,1.54,12.98
adze.rest,AVAILABLE,0,1.54,26.26
adze.skin,AVAILABLE,0,1.54,12.98
adze.surf,AVAILABLE,0,1.54,26.26
aegis.lol,UNAVAILABLE,0,1.54,26.26
aegis.space,UNAVAILABLE,0,1.96,26.26
aegis.pics,AVAILABLE,1,2183.84,2183.84
aegis.quest,AVAILABLE,1,2183.84,2183.84
aegis.mom,AVAILABLE,1,2183.84,2183.84
aegis.beauty,AVAILABLE,1,2183.84,2183.84
aegis.beer,AVAILABLE,0,1.54,26.26
aegis.best,UNAVAILABLE,0,1.72,15.96
aegis.click,UNAVAILABLE,0,1.54,10.81
aegis.garden,AVAILABLE,0,1.54,26.26
aegis.hair,AVAILABLE,1,2183.84,2183.84
aegis.monster,UNAVAILABLE,0,1.54,12.98
aegis.rest,UNAVAILABLE,0,1.54,26.26
aegis.skin,AVAILABLE,1,2183.84,2183.84
aegis.surf,AVAILABLE,0,1.54,26.26
aguti.lol,AVAILABLE,0,1.54,26.26
aguti.space,AVAILABLE,0,1.96,26.26
aguti.pics,AVAILABLE,0,1.54,26.26
aguti.quest,AVAILABLE,0,1.54,12.98
aguti.mom,AVAILABLE,0,1.54,26.26
aguti.beauty,AVAILABLE,0,1.54,12.98
aguti.beer,AVAILABLE,0,1.54,26.26
aguti.best,AVAILABLE,0,1.72,15.96
aguti.click,AVAILABLE,0,1.54,10.81
aguti.garden,AVAILABLE,0,1.54,26.26
aguti.hair,AVAILABLE,0,1.54,12.98
aguti.monster,AVAILABLE,0,1.54,12.98
aguti.rest,AVAILABLE,0,1.54,26.26
aguti.skin,AVAILABLE,0,1.54,12.98
aguti.surf,AVAILABLE,0,1.54,26.26
alder.lol,AVAILABLE,0,1.54,26.26
alder.space,AVAILABLE,1,68.75,273.44
alder.pics,UNAVAILABLE,0,1.54,26.26
alder.quest,AVAILABLE,0,1.54,12.98
alder.mom,AVAILABLE,0,1.54,26.26
alder.beauty,AVAILABLE,0,1.54,12.98
alder.beer,AVAILABLE,0,1.54,26.26
alder.best,AVAILABLE,0,1.72,15.96
alder.click,AVAILABLE,1,76.94,109.69
alder.garden,AVAILABLE,0,1.54,26.26
alder.hair,AVAILABLE,0,1.54,12.98
alder.monster,AVAILABLE,0,1.54,12.98
alder.rest,AVAILABLE,0,1.54,26.26
alder.skin,AVAILABLE,0,1.54,12.98
alder.surf,UNAVAILABLE,0,1.54,26.26
anise.lol,AVAILABLE,0,1.54,26.26
anise.space,AVAILABLE,1,68.75,273.44
anise.pics,AVAILABLE,0,1.54,26.26
anise.quest,AVAILABLE,0,1.54,12.98
anise.mom,AVAILABLE,0,1.54,26.26
anise.beauty,AVAILABLE,0,1.54,12.98
anise.beer,AVAILABLE,0,1.54,26.26
anise.best,AVAILABLE,0,1.72,15.96
anise.click,AVAILABLE,1,76.94,109.69
anise.garden,AVAILABLE,0,1.54,26.26
anise.hair,AVAILABLE,0,1.54,12.98
anise.monster,AVAILABLE,0,1.54,12.98
anise.rest,AVAILABLE,0,1.54,26.26
anise.skin,AVAILABLE,0,1.54,12.98
anise.surf,AVAILABLE,0,1.54,26.26
anvil.lol,UNAVAILABLE,0,1.54,26.26
anvil.space,AVAILABLE,1,136.98,546.35
anvil.pics,AVAILABLE,0,1.54,26.26
anvil.quest,AVAILABLE,0,1.54,12.98
anvil.mom,AVAILABLE,0,1.54,26.26
anvil.beauty,AVAILABLE,0,1.54,12.98
anvil.beer,AVAILABLE,0,1.54,26.26
anvil.best,AVAILABLE,0,1.72,15.96
anvil.click,AVAILABLE,1,76.94,109.69
anvil.garden,AVAILABLE,0,1.54,26.26
anvil.hair,AVAILABLE,0,1.54,12.98
anvil.monster,AVAILABLE,0,1.54,12.98
anvil.rest,AVAILABLE,0,1.54,26.26
anvil.skin,AVAILABLE,0,1.54,12.98
anvil.surf,AVAILABLE,0,1.54,26.26
aphid.lol,AVAILABLE,0,1.54,26.26
aphid.space,UNAVAILABLE,0,1.96,26.26
aphid.pics,AVAILABLE,0,1.54,26.26
aphid.quest,AVAILABLE,0,1.54,12.98
aphid.mom,AVAILABLE,0,1.54,26.26
aphid.beauty,AVAILABLE,0,1.54,12.98
aphid.beer,AVAILABLE,0,1.54,26.26
aphid.best,AVAILABLE,0,1.72,15.96
aphid.click,AVAILABLE,1,76.94,109.69
aphid.garden,AVAILABLE,0,1.54,26.26
aphid.hair,AVAILABLE,0,1.54,12.98
aphid.monster,AVAILABLE,0,1.54,12.98
aphid.rest,AVAILABLE,0,1.54,26.26
aphid.skin,AVAILABLE,0,1.54,12.98
aphid.surf,AVAILABLE,0,1.54,26.26
ash.lol,AVAILABLE,1,710.10,710.10
ash.space,AVAILABLE,1,273.44,1092.18
ash.pics,UNAVAILABLE,0,1.54,26.26
ash.quest,UNAVAILABLE,0,1.54,12.98
ash.mom,UNAVAILABLE,0,1.54,26.26
ash.beauty,UNAVAILABLE,0,1.54,12.98
ash.beer,AVAILABLE,1,437.19,27.82
ash.best,AVAILABLE,1,872.98,872.98
ash.click,AVAILABLE,1,382.61,546.35
ash.garden,AVAILABLE,1,437.19,27.82
ash.hair,AVAILABLE,0,1.54,12.98
ash.monster,UNAVAILABLE,0,1.54,12.98
ash.rest,UNAVAILABLE,0,1.54,26.26
ash.skin,UNAVAILABLE,0,1.54,12.98
ash.surf,AVAILABLE,1,437.19,27.82
ashen.lol,UNAVAILABLE,0,1.54,26.26
ashen.space,AVAILABLE,1,68.75,273.44
ashen.pics,AVAILABLE,0,1.54,26.26
ashen.quest,UNAVAILABLE,0,1.54,12.98
ashen.mom,AVAILABLE,0,1.54,26.26
ashen.beauty,UNAVAILABLE,0,1.54,12.98
ashen.beer,AVAILABLE,0,1.54,26.26
ashen.best,AVAILABLE,0,1.72,15.96
ashen.click,AVAILABLE,1,76.94,109.69
ashen.garden,AVAILABLE,0,1.54,26.26
ashen.hair,AVAILABLE,0,1.54,12.98
ashen.monster,AVAILABLE,0,1.54,12.98
ashen.rest,AVAILABLE,0,1.54,26.26
ashen.skin,AVAILABLE,0,1.54,12.98
ashen.surf,AVAILABLE,0,1.54,26.26
asp.lol,UNAVAILABLE,0,1.54,26.26
asp.space,AVAILABLE,1,273.44,1092.18
asp.pics,AVAILABLE,0,1.54,26.26
asp.quest,AVAILABLE,0,1.54,12.98
asp.mom,AVAILABLE,0,1.54,26.26
asp.beauty,AVAILABLE,0,1.54,12.98
asp.beer,UNAVAILABLE,0,1.54,26.26
asp.best,AVAILABLE,0,1.72,15.96
asp.click,AVAILABLE,1,382.61,546.35
asp.garden,AVAILABLE,1,44.19,27.82
asp.hair,UNAVAILABLE,0,1.54,12.98
asp.monster,UNAVAILABLE,0,1.54,12.98
asp.rest,AVAILABLE,0,1.54,26.26
asp.skin,AVAILABLE,0,1.54,12.98
asp.surf,AVAILABLE,1,87.86,27.82
aspen.lol,UNAVAILABLE,0,1.54,26.26
aspen.space,AVAILABLE,1,136.98,546.35
aspen.pics,AVAILABLE,0,1.54,26.26
aspen.quest,AVAILABLE,0,1.54,12.98
aspen.mom,AVAILABLE,0,1.54,26.26
aspen.beauty,UNAVAILABLE,0,1.54,12.98
aspen.beer,UNAVAILABLE,0,1.54,26.26
aspen.best,UNAVAILABLE,1,76.94,76.94
aspen.click,UNAVAILABLE,0,1.54,10.81
aspen.garden,AVAILABLE,1,4367.16,27.82
aspen.hair,AVAILABLE,0,1.54,12.98
aspen.monster,AVAILABLE,0,1.54,12.98
aspen.rest,AVAILABLE,1,1719.89,2456.76
aspen.skin,AVAILABLE,0,1.54,12.98
aspen.surf,AVAILABLE,0,1.54,26.26
aster.lol,UNAVAILABLE,0,1.54,26.26
